Date,open,high,low,close,volume
2006-01-03,2.1687223036527885,2.239734649658203,2.164827023903284,2.239734649658203,807234400
2006-01-04,2.2511204758402616,2.276589015123305,2.2322437490720244,2.2463266849517822,619603600
2006-01-05,2.2421315230085312,2.244228981314742,2.2097719378605087,2.2286486625671387,449422400
2006-01-06,2.254715848571562,2.2981623947805723,2.2337416676447717,2.286176919937134,704457600
2006-01-09,2.299062358783368,2.3131453006274696,2.2693990898915604,2.2786872386932373,675040800
2006-01-10,2.2846790206274235,2.4536708513808803,2.2720946694192006,2.4228086471557617,2279869200
2006-01-11,2.5120986438433386,2.540862387001667,2.4746446302052725,2.5138964653015137,1493794400
2006-01-12,2.5459564685296443,2.5888033440114615,2.505506688187944,2.5255813598632812,1280809600
2006-01-13,2.546554787005296,2.577117340927954,2.534869751761413,2.564532995223999,776305600
2006-01-17,2.5678290587970403,2.588204166647808,2.5129969098341443,2.538165807723999,835623600
2006-01-18,2.4893265162369884,2.5183906949731,2.4524715782075877,2.4716477394104004,1200637200
2006-01-19,2.434493661679232,2.446778570800249,2.3592864229601274,2.3682749271392822,1695848000
2006-01-20,2.3754676766148504,2.3982388841269198,2.2720947315379463,2.2798852920532227,1134758800
2006-01-23,2.280184987156406,2.383857580915035,2.2771892174622277,2.3272275924682617,1059730000
2006-01-24,2.359886770703405,2.379663012438126,2.2702971092393542,2.2783873081207275,1142254400
2006-01-25,2.3188373354493286,2.322132941545726,2.194789849873455,2.223255157470703,1275786400
2006-01-26,2.2331437864268806,2.260110516735588,2.155239965543294,2.167224645614624,1181387200
2006-01-27,2.1858006249028636,2.2052764201710833,2.1303694075877617,2.1582348346710205,953864800
2006-01-30,2.132467534859123,2.2951661957270026,2.1234780264459396,2.247225284576416,1398401200
2006-01-31,2.262207286515612,2.287376187130333,2.20977202689545,2.2625067234039307,913542000
2006-02-01,2.245728070611783,2.2909718566720025,2.236439123744531,2.259810209274292,521186400
2006-02-02,2.2502217510347813,2.258012310567607,2.1588342951983557,2.160332679748535,707322000
2006-02-03,2.164527647064292,2.1810074787291245,2.1285722144105157,2.152841806411743,692123600
2006-02-06,2.157936300917932,2.1726181127322857,1.9997309775321765,2.016510248184204,1651767600
2006-02-07,2.0455746986829006,2.081830573983053,1.9979340180816632,2.0254998207092285,1388830800
2006-02-08,2.052165883525028,2.069844662038892,1.9775584898332015,2.0617544651031494,953114400
2006-02-09,2.070443621174086,2.0743391013653927,1.9335129418887105,1.946097493171692,1149764000
2006-02-10,1.9529882879738234,2.027596467469877,1.8846730827404956,2.0168099403381348,1760477600
