Date,open,high,low,close,volume
2006-01-03,11.13575461925901,11.316929465602936,11.116343866040046,11.291048049926758,55426000
2006-01-04,11.310454335567124,11.601627860366078,11.297513015764462,11.549863815307617,80408900
2006-01-05,11.608098362491754,11.957505353349223,11.601627702678373,11.87338924407959,118575500
2006-01-06,11.976923323511606,12.21633168559528,11.951040671311866,12.145156860351562,122446000
2006-01-09,12.274565184060853,12.36515322349393,12.242213106218607,12.332799911499023,78592600
2006-01-10,12.209856795093822,12.39103034283993,12.15162208784622,12.274560928344727,73828200
2006-01-11,12.281030073218593,12.57220357353047,12.255148669942027,12.552791595458984,73933100
2006-01-12,12.468680928562149,12.520444991836897,12.34574081547739,12.42338752746582,59581300
2006-01-13,12.378095387233136,12.50750618858127,12.222803166107095,12.242215156555176,52349600
2006-01-17,12.099861108137672,12.151625168352219,11.951038355137372,12.086919784545898,53125200
2006-01-18,11.905745322835369,12.19691894184149,11.88633457100335,12.119272232055664,69475200
2006-01-19,12.196918409742944,12.371622573525034,12.177506424605202,12.306917190551758,54516900
2006-01-20,12.23574333289397,12.248684658632275,11.802218793882721,11.976922988891602,77815100
2006-01-23,11.996335158781351,12.00927525056245,11.731042913748123,11.750454902648926,54554200
2006-01-24,11.756921685952392,11.951036574293422,11.743980364289026,11.86044979095459,50574700
2006-01-25,11.873393346665482,12.04162685748625,11.8151586223755,12.01574420928955,51610600
2006-01-26,12.015744227467403,12.093390938022376,11.808687978190935,12.022214889526367,64896300
2006-01-27,12.022216747712212,12.261626344287283,12.009275421594038,12.151627540588379,48720700
2006-01-30,12.093386944140937,12.261620399656554,12.080445624296923,12.222796440124512,43844300
2006-01-31,12.099861581776231,12.125742995820337,11.853981360517956,12.01574420928955,64719200
2006-02-01,11.905745440770206,12.048097537762223,11.873393364627981,12.022214889526367,53734600
2006-02-02,11.944568866502218,12.132214374555286,11.841040735904892,11.886335372924805,40284100
2006-02-03,11.834568425541006,11.860449834811076,11.614570893059758,11.743980407714844,71696800
2006-02-06,11.666334148471787,11.711627537213321,11.5369234085083,11.5369234085083,51811100
2006-02-07,11.54339634750782,11.776335231761696,11.530455024126487,11.705159187316895,78522100
2006-02-08,12.468675492120042,12.61749695487852,12.365147410709616,12.552791595458984,200671700
2006-02-09,12.630445811878399,12.928088915039023,12.598092495783018,12.649856567382812,119726500
2006-02-10,12.688680511620797,12.863383481441652,12.682209848419609,12.785737991333008,73782500
2006-02-13,12.695151209916348,12.84397276149666,12.5010350158025,12.649856567382812,58621900
2006-02-14,12.708089934775218,12.850442041971782,12.669267193791013,12.74691390991211,55792800
2006-02-15,12.68220882639821,12.915146512105197,12.68220882639821,12.902206420898438,65024300
2006-02-16,12.88279193133785,12.941026649995027,12.83102787410397,12.928085327148438,46990700
2006-02-17,12.902201210688297,12.934553276869753,12.831025184106437,12.85043716430664,35965900
2006-02-21,12.753383801968457,12.87632392606642,12.585151506869432,12.669267654418945,47666600
2006-02-22,12.66279742722229,12.89573635791445,12.66279742722229,12.727502822875977,57719700
2006-02-23,12.695149209348395,12.843970737476633,12.65632523615202,12.75985336303711,48143700
2006-02-24,12.74691473033203,12.882794949598647,12.733973404453469,12.843972206115723,37444900
2006-02-27,12.84397012619381,12.94102758626025,12.831028802410936,12.921615600585938,55854400
2006-02-28,12.915142495037047,13.199845393629223,12.850438356670384,13.096317291259766,137099800
2006-03-01,13.186908339412286,13.66572751050129,13.161026922521184,13.626903533935547,160237700
2006-03-02,13.542792244478095,13.626908422239604,13.393970650048333,13.510438919067383,69236400
2006-03-03,13.393970226287973,13.801612240340537,13.368087566778282,13.613967895507812,76428600
2006-03-06,13.568666885730408,13.89866323498813,13.51043216326419,13.620430946350098,85155100
2006-03-07,13.542790035162547,13.5751421211423,13.38102713695784,13.50396728515625,47523100
2006-03-08,13.400433144707952,13.581607970769562,13.381022393661999,13.497491836547852,54435200
2006-03-09,13.523370045580833,13.529840705780734,13.225727081298828,13.225727081298828,45597800
2006-03-10,13.283965803380351,13.510432808054357,13.148084366423333,13.471610069274902,48463600
2006-03-13,13.503962498280682,13.685136090189758,13.465138527883708,13.497491836547852,46526400
2006-03-14,13.47161033630597,13.749842643737793,13.439258259040583,13.749842643737793,54956400
2006-03-15,13.71101702552176,13.911602577589454,13.691605042746547,13.872779846191406,48514600
2006-03-16,13.905134836086397,14.03454561345322,13.743371981454187,13.749842643737793,55426200
2006-03-17,13.872785475866385,14.028077698629646,13.685139935348559,13.98925495147705,62104500
2006-03-20,13.989249624807623,14.066895089547845,13.866309532457793,14.028072357177734,34525500
2006-03-21,13.853367805480959,14.138070714231562,13.769251682111566,13.853367805480957,49443400
2006-03-22,13.743370949016283,13.911604453293958,13.73690028721877,13.859840393066406,35794900
2006-03-23,13.775722343009576,13.90513185851267,13.72395705582549,13.853367805480957,37038000
2006-03-24,13.808077847653704,13.911605979466355,13.743372456732628,13.821019172668457,34047900
2006-03-27,13.77572557260091,14.138074028772138,13.74984292294092,14.0345458984375,53091400
2006-03-28,13.982780046621723,14.170424296069775,13.788663901432956,13.801605224609375,54353600
2006-03-29,13.846898954258334,14.15748331303942,13.76925348163933,13.956897735595703,58304500
2006-03-30,13.97631370209474,14.235134074806092,13.943960384160269,14.21572208404541,54944600
2006-03-31,14.202779382665257,14.235131460505341,14.021604537963867,14.021604537963867,54881800
2006-04-03,14.13806873875641,14.222184850372479,13.96983528137207,13.96983528137207,46689300
2006-04-04,13.931018209000866,14.041017005231813,13.846900829096358,13.95042896270752,43116400
2006-04-05,13.969840508440187,14.196308756354453,13.969840508440187,14.0345458984375,38695200
2006-04-06,13.976311445434337,14.008663523992253,13.659256385786556,13.704549789428711,71000400
2006-04-07,13.704547010592705,13.840427193967097,13.445726732151648,13.465137481689453,44277000
2006-04-10,13.458668660403932,13.685136897807661,13.439257908212467,13.581608772277832,31086300
2006-04-11,13.575132474038194,13.685131216013424,13.393958946656939,13.6074857711792,45602900
2006-04-12,13.549255799971723,13.723958728906466,13.510431829850647,13.601019859313965,30588600
2006-04-13,13.581609669433796,13.91160605416582,13.581609669433796,13.704549789428711,38597300
2006-04-17,13.685136090189758,13.82748818000693,13.41337446817361,13.497491836547852,34077500
2006-04-18,13.594552594546215,13.911607691510202,13.413377724501295,13.892195701599121,50499000
2006-04-19,13.846899167803661,13.879252477020975,13.646313587266537,13.756312370300293,29180000
2006-04-20,13.678660556585223,13.892187381107483,13.536309751621081,13.6074857711792,36842900
2006-04-21,13.588080629934158,13.678667439204851,13.258084237966003,13.381024360656738,43420200
2006-04-24,13.309843289029656,13.361607336840013,13.122199078524204,13.128669738769531,48504400
2006-04-25,13.18690250970932,13.303371919611969,13.070434333958856,13.245137214660645,46101900
2006-04-26,13.271023097008404,13.510431401060815,13.199847054864586,13.413373947143555,47199800
2006-04-27,13.316316843070162,13.7368999771961,13.27749410731381,13.5751371383667,46851000
2006-04-28,13.588078124632984,13.78219303275246,13.439256612797886,13.555726051330566,42941100
2006-05-01,13.601019747695528,13.846898719015215,13.529843703876862,13.562195777893066,45526500
2006-05-02,13.672193906668493,14.073366269800223,13.65925381816937,13.84042739868164,46465100
2006-05-03,13.995716201142214,14.008657520680543,13.79513068490674,13.905129432678223,34829200
2006-05-04,13.924546078495725,14.17042506136421,13.911604754620392,14.144543647766113,49635800
2006-05-05,14.163952954743731,14.235128994645743,13.91160333567652,14.073366165161133,50528200
2006-05-08,14.00865985654677,14.163952014444353,13.956895803914241,14.079835891723633,47325000
2006-05-09,14.041013679351908,14.105717821917956,13.853368210283618,14.028072357177734,79280500
2006-05-10,13.821019965153136,14.22866185327018,13.387495425522502,13.426318168640137,92672100
2006-05-11,13.348669851800695,13.368081838114287,12.915145364017983,12.973380088806152,84840100
2006-05-12,13.04455276680124,13.426313093244966,13.005730038359316,13.161022186279297,71805000
2006-05-15,13.186905805132133,13.342199213245118,12.617501167276986,13.303375244140625,53730600
2006-05-16,13.2580810128457,13.290434318395578,13.038083471716194,13.076906204223633,55404400
2006-05-17,12.934557861669424,13.167496770030807,12.915145874588424,13.05749797821045,60254600
2006-05-18,13.05102304997787,13.329255269765634,13.044552389732544,13.128669738769531,63571800
2006-05-19,13.1998522466735,13.549260699189091,13.14808816861411,13.50396728515625,77038300
2006-05-22,13.342196424394714,13.51689931223772,13.264549736568307,13.329255104064941,55276800
2006-05-23,13.342198001449985,13.542783553661863,13.180435180664062,13.180435180664062,51067400
2006-05-24,13.199848617431316,13.413375534987095,13.031615101455154,13.25808334350586,55182000
2006-05-25,13.335723405527816,13.426310163509596,13.122196594462176,13.277488708496094,41344000
2006-05-26,13.290438653381367,13.309849408890148,13.063970377273987,13.141615867614746,37759600
2006-05-30,13.070438095576815,13.089848846712133,12.792205810546875,12.792205810546875,45863200
2006-05-31,12.818085813773818,12.960437888591175,12.623970918853207,12.733969688415527,56955900
2006-06-01,12.73397206025739,13.264554023742676,12.72750139800115,13.264554023742676,53313500
2006-06-02,13.329255176192763,13.458664677734063,13.167492373651958,13.225727081298828,43053400
2006-06-05,13.167495359729141,13.18043668306373,12.863380432128906,12.863380432128906,36223900
2006-06-06,12.889262557937112,13.173965489030488,12.869850573719676,13.051025390625,53468500
2006-06-07,13.10926263644204,13.115733299095321,12.876323717534705,12.882794380187988,40723000
2006-06-08,12.785734031433378,12.99279025313231,12.559265826143008,12.869850158691406,71683800
2006-06-09,12.876322201498436,13.096319769197065,12.831028802410936,12.921615600585938,39833700
2006-06-12,12.908676773606595,12.94102885207571,12.604561805725098,12.604561805725098,30463800
2006-06-13,12.546326302453762,12.695149063019233,12.49456223960787,12.526915550231934,47899800
2006-06-14,12.55279918841529,12.785738129565251,12.526917769483532,12.688680648803711,40552900
2006-06-15,12.727500089692093,13.08984849972586,12.721029428100998,13.083377838134766,44788100
2006-06-16,13.051025425886083,13.083377498850082,12.876321269914557,12.928085327148438,41165300
2006-06-19,12.947498366815577,13.038085165820807,12.75338221075106,12.82455825805664,32760800
2006-06-20,12.779260594485685,12.973375451627135,12.708084570929477,12.766319274902344,28931100
2006-06-21,12.785735860089614,13.212789686960354,12.785735860089614,12.986321449279785,48813100
2006-06-22,13.025144975367207,13.089850366352708,12.643385760273384,12.740443229675293,41353700
2006-06-23,12.68868064880371,12.882795610326793,12.649856669176831,12.688680648803711,27523400
2006-06-26,12.656323508604942,12.74691153287889,12.611030113544194,12.682206153869629,21107200
