Date,open,high,low,close,volume
2013-08-02,37.39875112408836,38.22299520369329,37.239861201159464,37.78604507446289,73058500
2013-08-05,38.16341788452121,39.04724349873927,37.9846662110574,38.91814422607422,79994800
2013-08-06,38.838701893150045,38.977730133367956,37.676815993177414,38.28258514404297,63950800
2013-08-07,38.34216992548909,38.6698788044902,37.43848258464275,38.600364685058594,68854800
2013-08-08,38.858555162791895,38.9181365166536,38.16341032460676,38.272647857666016,41301000
2013-08-09,38.32230505998459,38.47126603981007,37.746326645443524,38.23292922973633,43532300
2013-08-12,37.935010415158665,38.23292858152353,37.835701834213694,37.954872131347656,31161000
2013-08-13,37.97473712705152,38.054180210433216,36.514933061088826,36.76319885253906,65379200
2013-08-14,36.574518888107725,37.289521804646974,36.365972740391506,36.39576721191406,48423900
2013-08-15,36.10777926812519,36.81285324481295,35.770137621956536,36.306392669677734,56521100
2013-08-16,36.713543064852914,37.22993631801729,36.64402895271877,36.82278060913086,45840800
2013-08-19,37.17035677697115,38.01445900206766,36.88236753283777,37.54772186279297,57609600
2013-08-20,38.083969535910754,38.312377389551926,37.428548021369885,38.1435546875,57995200
2013-08-21,38.113765298874405,38.58050241000151,37.885361225719585,38.05418014526367,46116900
2013-08-22,38.103833467124105,38.48119853931231,38.0740427837161,38.28258514404297,21931200
2013-08-23,38.72946759148853,40.348161784864445,38.65995346553703,40.268714904785156,86442300
2013-08-26,40.6162763203996,41.64905891315823,40.3382161173725,41.05322265625,94162400
2013-08-27,40.39780728707288,40.91420055463276,39.1465456573068,39.365020751953125,72695100
2013-08-28,39.682807423025515,40.566633128610995,39.60336433118197,40.268714904785156,57918200
2013-08-29,40.606350700527116,41.49017627838879,40.51697486747171,40.99364471435547,58303400
2013-08-30,41.728513827647134,41.96684686115053,40.77517411716305,41.003578186035156,67735100
2013-09-03,41.549757203503574,41.86753706910234,41.22204458622277,41.57954788208008,48774900
2013-09-04,41.71858505992858,41.877475026853816,41.1525393159927,41.49018096923828,42581900
2013-09-05,41.5001145462007,42.4733160864505,41.480252826411636,42.364078521728516,50035400
2013-09-06,42.791095164917316,44.30055174436866,42.10588289305351,43.6451301574707,117535700
2013-09-09,44.05228462400899,44.47930210758391,43.396863056606755,43.73450469970703,75794700
2013-09-10,43.93311377570542,43.952971704313875,42.93011791039748,43.297550201416016,54540300
2013-09-11,43.089006356382335,44.777214346945904,42.8109499067254,44.727561950683594,72328300
2013-09-12,45.214159345517054,45.30353517133148,44.340266591148044,44.439571380615234,68072300
2013-09-13,44.727567828873575,44.76729126639796,43.62526706110261,44.00263214111328,52765300
2013-09-16,44.5388745632151,44.628250385805046,42.13566389305069,42.21510696411133,70424200
2013-09-17,42.20518640555979,45.1247908778502,42.13567228395065,44.75735855102539,91934600
2013-09-18,44.52895049577569,45.15458132269195,44.09200408631403,44.91624450683594,79317000
2013-09-19,45.19430038668336,45.730555374279774,44.91624392862675,45.661041259765625,63972400
2013-09-20,45.998686162333094,47.26980581960773,45.422711488218795,47.16057205200195,115508400
2013-09-23,46.95202002202435,47.22014750142747,45.96888971911448,46.86264419555664,75177000
2013-09-24,48.17348822052847,49.31551227489596,47.82591765871315,48.11390686035156,136716100
2013-09-25,48.888501129830004,49.19635208715906,48.12384200735627,49.116905212402344,87879700
2013-09-26,49.66308978159248,50.24899723075369,49.15662920809034,50.04045486450195,98220100
2013-09-27,49.941145097209144,50.924275462298795,49.51412765354874,50.88455581665039,81410500
2013-09-30,49.792185444788174,51.24205672616462,49.4545438242259,49.881561279296875,100095000
2013-10-01,49.623368433982584,50.67601298279694,49.10697512457528,50.07024383544922,98114000
2013-10-02,49.78225618111009,50.745524849211314,49.60350451316652,49.93121337890625,62834000
2013-10-03,50.11990054161498,50.36816633975932,48.71968159161031,48.83884811401367,82045000
2013-10-04,49.42475296041229,50.80511011967732,49.226139574652635,50.685943603515625,74447000
2013-10-07,50.37809803663554,50.9342148183993,50.050389135197285,50.1695556640625,57204000
2013-10-08,50.248993472999615,50.248993472999615,46.75341454659142,46.81299591064453,136081000
2013-10-09,47.051329536967934,47.508137642124176,44.94603309121004,46.445560455322266,147297000
2013-10-10,47.53793248081167,49.335378166910765,47.498212833410086,48.709747314453125,99774000
2013-10-11,48.83884318445008,49.5240553544016,48.45154918455421,48.76932907104492,58428000
2013-10-14,47.97487705941134,49.28571997552568,47.57765032618614,49.16654968261719,68781000
2013-10-15,49.64323028247843,50.64622243245443,48.83884773890411,49.1566276550293,81167000
2013-10-16,49.69287987630501,50.884556388559446,49.553851644385105,50.785247802734375,64678000
2013-10-17,50.76538888962338,51.8577606646257,50.59656996674876,51.84782791137695,71522000
2013-10-18,53.80416008047524,54.449652622999295,53.228181653209454,53.8438835144043,88260000
2013-10-21,54.30069614919697,54.42979542606965,53.13881023381376,53.4764518737793,58235000
2013-10-22,53.95311936084781,54.38013300328565,51.8378939238211,52.3145637512207,83204000
2013-10-23,51.391013238689645,51.88754476756587,50.775315203588896,51.539974212646484,57207000
